"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"27-Feb-2024","EQ","1,182.00","1,189.70","1,174.95","1,177.10","1,181.00","1,183.60","1,183.28","1,190.95","686.60","15,84,564","1,87,49,77,287.40","76,748"
"26-Feb-2024","EQ","1,159.00","1,182.80","1,149.45","1,160.30","1,178.00","1,177.10","1,167.87","1,190.95","686.60","12,92,210","1,50,91,29,775.80","64,641"
"23-Feb-2024","EQ","1,158.00","1,165.60","1,155.20","1,159.50","1,158.60","1,160.30","1,160.18","1,190.95","686.60","12,80,859","1,48,60,29,676.00","64,777"
"22-Feb-2024","EQ","1,161.00","1,164.75","1,142.45","1,160.75","1,156.70","1,159.50","1,152.45","1,190.95","686.60","16,89,403","1,94,69,48,709.40","99,777"
"21-Feb-2024","EQ","1,155.00","1,171.90","1,150.05","1,154.40","1,158.00","1,160.75","1,160.84","1,190.95","686.60","14,45,959","1,67,85,34,255.60","80,717"
"20-Feb-2024","EQ","1,154.50","1,159.00","1,138.80","1,155.00","1,153.00","1,154.40","1,150.23","1,190.95","686.60","10,56,193","1,21,48,67,231.00","58,462"
"19-Feb-2024","EQ","1,150.00","1,164.25","1,144.50","1,147.45","1,154.50","1,155.00","1,155.85","1,190.95","686.60","9,61,914","1,11,18,26,780.15","42,333"
"16-Feb-2024","EQ","1,135.00","1,149.40","1,132.40","1,131.40","1,148.95","1,147.45","1,143.59","1,190.95","686.60","12,13,292","1,38,75,05,627.85","48,787"
"15-Feb-2024","EQ","1,140.05","1,146.75","1,127.25","1,135.60","1,134.35","1,131.40","1,134.79","1,190.95","686.60","12,78,358","1,45,06,70,681.55","60,290"
"14-Feb-2024","EQ","1,135.05","1,139.85","1,120.00","1,137.80","1,139.00","1,135.60","1,129.04","1,190.95","686.60","12,06,706","1,36,24,15,623.30","49,150"
"13-Feb-2024","EQ","1,123.00","1,141.30","1,118.20","1,122.20","1,137.00","1,137.80","1,131.33","1,190.95","686.60","8,86,148","1,00,25,27,784.45","54,226"
"12-Feb-2024","EQ","1,130.05","1,134.40","1,075.00","1,129.25","1,121.90","1,122.20","1,123.89","1,190.95","686.60","8,98,953","1,01,03,25,741.20","42,725"
"09-Feb-2024","EQ","1,142.00","1,149.40","1,119.85","1,137.90","1,128.00","1,129.25","1,132.66","1,190.95","686.60","9,17,196","1,03,88,71,730.45","48,645"
"08-Feb-2024","EQ","1,160.00","1,162.90","1,125.00","1,166.20","1,140.95","1,137.90","1,140.10","1,190.95","686.60","24,77,973","2,82,51,26,989.85","1,36,361"
"07-Feb-2024","EQ","1,168.05","1,175.00","1,153.05","1,163.55","1,170.70","1,166.20","1,164.54","1,190.95","686.60","8,64,874","1,00,71,84,238.25","56,908"
"06-Feb-2024","EQ","1,142.10","1,166.80","1,142.10","1,150.75","1,160.55","1,163.55","1,158.74","1,190.95","686.60","12,19,085","1,41,25,99,356.00","57,085"
"05-Feb-2024","EQ","1,169.90","1,177.00","1,146.30","1,162.75","1,152.50","1,150.75","1,161.31","1,190.95","686.60","12,66,268","1,47,05,26,139.60","64,374"
"02-Feb-2024","EQ","1,132.00","1,170.70","1,132.00","1,129.65","1,162.85","1,162.75","1,147.40","1,190.95","686.60","17,41,322","1,99,80,00,795.15","60,775"
"01-Feb-2024","EQ","1,118.00","1,134.90","1,108.00","1,118.00","1,132.00","1,129.65","1,119.38","1,190.95","686.60","47,28,358","5,29,28,35,709.20","1,00,332"
"31-Jan-2024","EQ","1,125.00","1,127.50","1,112.00","1,122.90","1,119.00","1,118.00","1,117.89","1,190.95","686.60","24,28,738","2,71,50,59,742.45","91,841"
"30-Jan-2024","EQ","1,144.95","1,147.20","1,120.65","1,141.05","1,125.55","1,122.90","1,132.01","1,190.95","686.60","7,98,009","90,33,51,484.70","42,356"
"29-Jan-2024","EQ","1,136.75","1,149.20","1,135.00","1,136.75","1,142.00","1,141.05","1,141.98","1,190.95","686.60","15,88,430","1,81,39,49,162.45","63,480"
"25-Jan-2024","EQ","1,160.00","1,163.65","1,132.35","1,159.00","1,135.00","1,136.75","1,144.68","1,190.95","686.60","11,25,321","1,28,81,27,051.30","54,429"
"24-Jan-2024","EQ","1,145.60","1,161.00","1,134.00","1,145.65","1,160.00","1,159.00","1,150.26","1,190.95","686.60","10,40,096","1,19,63,78,876.55","41,118"
"23-Jan-2024","EQ","1,158.95","1,166.00","1,138.25","1,150.10","1,145.10","1,145.65","1,151.50","1,190.95","686.60","9,33,643","1,07,50,90,625.10","57,704"
"20-Jan-2024","EQ","1,168.00","1,169.00","1,148.10","1,161.70","1,151.00","1,150.10","1,156.27","1,190.95","686.60","3,32,777","38,47,81,384.25","19,120"
"19-Jan-2024","EQ","1,156.75","1,165.60","1,146.70","1,146.80","1,159.55","1,161.70","1,157.28","1,190.95","686.60","9,00,162","1,04,17,42,949.55","50,021"
"18-Jan-2024","EQ","1,134.95","1,150.00","1,122.50","1,138.60","1,143.85","1,146.80","1,138.70","1,190.95","686.60","12,18,211","1,38,71,75,842.90","86,852"
"17-Jan-2024","EQ","1,134.00","1,152.95","1,131.90","1,143.70","1,138.00","1,138.60","1,142.18","1,190.95","686.60","12,72,932","1,45,39,20,474.70","59,792"
"16-Jan-2024","EQ","1,152.55","1,162.55","1,142.00","1,150.80","1,146.00","1,143.70","1,152.47","1,190.95","686.60","14,49,691","1,67,07,18,325.70","70,087"
"15-Jan-2024","EQ","1,190.00","1,190.95","1,134.75","1,159.00","1,152.50","1,150.80","1,152.01","1,190.95","686.60","42,37,485","4,88,16,10,595.20","1,33,829"
"12-Jan-2024","EQ","1,125.45","1,165.55","1,123.85","1,119.25","1,154.10","1,159.00","1,153.09","1,165.55","686.60","60,18,282","6,93,96,22,815.55","1,39,807"
"11-Jan-2024","EQ","1,117.00","1,124.95","1,112.05","1,113.95","1,120.00","1,119.25","1,118.51","1,131.15","686.60","10,84,035","1,21,25,03,027.10","58,045"
"10-Jan-2024","EQ","1,112.00","1,117.70","1,101.00","1,111.65","1,114.90","1,113.95","1,109.59","1,131.15","686.60","9,33,127","1,03,53,86,977.95","50,039"
"09-Jan-2024","EQ","1,106.00","1,120.15","1,106.00","1,104.95","1,108.70","1,111.65","1,114.28","1,131.15","686.60","9,98,355","1,11,24,46,404.70","56,020"
"08-Jan-2024","EQ","1,125.05","1,129.00","1,094.65","1,122.95","1,102.10","1,104.95","1,105.43","1,131.15","686.60","17,22,755","1,90,43,78,530.60","1,00,670"
"05-Jan-2024","EQ","1,125.00","1,131.15","1,117.05","1,125.55","1,120.80","1,122.95","1,124.24","1,131.15","686.60","12,07,155","1,35,71,33,128.35","51,090"
"04-Jan-2024","EQ","1,088.10","1,128.60","1,086.15","1,084.95","1,123.65","1,125.55","1,117.08","1,128.60","686.60","27,77,186","3,10,23,30,438.35","1,25,598"
"03-Jan-2024","EQ","1,097.95","1,099.10","1,082.70","1,097.75","1,089.80","1,084.95","1,090.99","1,103.05","686.60","11,00,701","1,20,08,48,343.30","60,395"
"02-Jan-2024","EQ","1,086.35","1,103.05","1,079.50","1,080.10","1,097.50","1,097.75","1,093.86","1,103.05","686.60","26,35,193","2,88,25,41,417.95","1,11,067"
"01-Jan-2024","EQ","1,093.85","1,093.85","1,076.00","1,086.80","1,079.75","1,080.10","1,083.11","1,094.00","686.60","9,36,544","1,01,43,78,482.20","53,508"
"29-Dec-2023","EQ","1,053.95","1,094.00","1,047.70","1,041.00","1,089.00","1,086.80","1,076.92","1,094.00","686.60","50,17,576","5,40,35,39,953.75","1,58,474"
"28-Dec-2023","EQ","1,030.75","1,050.00","1,025.30","1,026.75","1,048.55","1,041.00","1,034.62","1,050.00","686.60","20,52,402","2,12,34,60,750.60","1,05,204"
"27-Dec-2023","EQ","1,014.95","1,029.00","1,010.10","1,007.35","1,027.00","1,026.75","1,019.90","1,029.00","686.60","17,99,498","1,83,53,03,185.45","1,00,036"
"26-Dec-2023","EQ","993.00","1,017.00","992.80","992.80","1,006.50","1,007.35","1,008.70","1,017.00","686.60","18,04,990","1,82,06,87,823.35","73,087"
"22-Dec-2023","EQ","986.00","998.30","979.65","979.30","989.85","992.80","991.21","1,010.00","686.60","14,91,449","1,47,83,40,078.85","68,028"
"21-Dec-2023","EQ","976.00","983.90","963.05","976.30","978.65","979.30","977.01","1,010.00","686.60","15,88,905","1,55,23,83,265.25","86,494"
"20-Dec-2023","EQ","975.00","1,010.00","966.15","966.15","976.05","976.30","989.81","1,010.00","686.60","44,65,789","4,42,02,62,189.95","1,49,138"
"19-Dec-2023","EQ","953.00","978.00","949.15","949.70","967.85","966.15","969.38","978.00","686.60","38,97,491","3,77,81,65,058.90","1,30,767"
"18-Dec-2023","EQ","956.00","958.20","945.30","954.70","947.00","949.70","952.34","963.00","686.60","9,99,922","95,22,68,930.15","42,970"
"15-Dec-2023","EQ","959.95","959.95","948.90","950.45","952.30","954.70","954.20","963.00","686.60","11,55,502","1,10,25,81,398.55","54,170"
"14-Dec-2023","EQ","960.80","960.80","944.10","957.30","953.50","950.45","950.95","963.00","686.60","19,80,762","1,88,36,02,150.50","79,217"
"13-Dec-2023","EQ","948.00","959.70","946.50","948.75","956.15","957.30","954.12","963.00","686.60","8,99,820","85,85,39,105.00","35,589"
"12-Dec-2023","EQ","953.05","961.95","943.60","950.45","949.65","948.75","952.95","963.00","686.60","7,32,063","69,76,19,681.25","41,454"
"11-Dec-2023","EQ","949.90","953.00","944.05","946.60","951.25","950.45","949.20","963.00","686.60","4,76,174","45,19,82,544.40","25,288"
"08-Dec-2023","EQ","960.00","961.85","943.80","956.90","946.50","946.60","950.64","963.00","686.60","6,49,090","61,70,51,675.65","47,533"
"07-Dec-2023","EQ","952.00","959.55","950.05","951.70","957.00","956.90","955.83","963.00","686.60","9,33,106","89,18,90,850.35","45,557"
"06-Dec-2023","EQ","954.00","963.00","948.90","950.05","951.70","951.70","954.70","963.00","686.60","9,82,484","93,79,81,330.55","40,877"
"05-Dec-2023","EQ","946.70","954.15","944.15","946.65","949.60","950.05","949.96","956.50","686.60","7,92,716","75,30,50,697.30","45,596"
"04-Dec-2023","EQ","954.00","956.50","941.95","942.85","945.50","946.65","947.77","956.50","686.60","11,12,904","1,05,47,72,322.30","66,590"
"01-Dec-2023","EQ","945.90","952.90","939.75","940.75","943.00","942.85","945.03","952.90","686.60","11,29,388","1,06,73,10,273.25","42,963"
"30-Nov-2023","EQ","932.00","948.20","932.00","933.55","938.60","940.75","940.05","948.20","686.60","29,82,505","2,80,37,09,450.75","85,175"
"29-Nov-2023","EQ","934.95","937.90","930.00","931.85","933.80","933.55","934.26","940.85","686.60","10,47,897","97,90,04,008.70","56,942"
"28-Nov-2023","EQ","925.00","934.95","924.75","926.90","932.00","931.85","930.40","940.85","686.60","9,04,835","84,18,57,815.70","52,755"
"24-Nov-2023","EQ","934.70","936.85","924.00","933.00","929.00","926.90","928.36","940.85","686.60","5,21,207","48,38,70,062.00","31,584"
"23-Nov-2023","EQ","929.15","937.70","927.00","928.25","934.70","933.00","931.59","940.85","686.60","9,07,511","84,54,30,378.65","50,572"
"22-Nov-2023","EQ","931.45","939.80","922.25","927.70","929.10","928.25","930.70","940.85","686.60","8,85,449","82,40,86,970.95","35,797"
"21-Nov-2023","EQ","906.00","931.50","906.00","930.85","928.30","927.70","927.11","940.85","686.60","8,04,344","74,57,18,365.35","38,984"
"20-Nov-2023","EQ","935.50","940.85","928.20","930.85","931.00","930.85","933.21","940.85","686.60","11,69,030","1,09,09,53,315.35","57,787"
"17-Nov-2023","EQ","922.00","934.00","921.00","920.05","934.00","930.85","929.17","934.00","686.60","9,61,365","89,32,73,824.55","47,244"
"16-Nov-2023","EQ","933.00","933.00","918.00","929.60","920.50","920.05","925.50","933.00","686.60","13,15,309","1,21,73,21,183.30","61,912"
"15-Nov-2023","EQ","921.40","932.00","916.35","916.55","929.00","929.60","924.90","932.00","686.60","15,64,164","1,44,66,98,495.10","67,693"
"13-Nov-2023","EQ","914.00","920.45","907.10","915.30","917.00","916.55","915.35","929.45","686.60","9,04,887","82,82,88,496.80","42,750"
"12-Nov-2023","EQ","922.00","922.00","914.00","912.70","914.00","915.30","917.51","929.45","686.60","1,57,797","14,47,79,842.10","8,162"
"10-Nov-2023","EQ","902.85","916.85","896.50","902.85","914.35","912.70","905.88","929.45","686.60","38,46,444","3,48,44,23,739.45","53,525"
"09-Nov-2023","EQ","916.30","918.95","898.35","916.30","902.95","902.85","903.18","929.45","686.60","31,94,352","2,88,50,69,811.20","58,849"
"08-Nov-2023","EQ","922.50","929.45","914.15","922.05","914.85","916.30","921.42","929.45","686.60","10,90,425","1,00,47,41,713.50","39,900"
"07-Nov-2023","EQ","920.00","923.70","913.00","918.65","923.50","922.05","919.58","928.00","686.60","8,19,721","75,37,99,048.25","52,127"
"06-Nov-2023","EQ","916.75","923.70","916.00","913.70","919.40","918.65","919.22","928.00","686.60","7,42,374","68,24,06,580.45","34,320"
